Sample in Buffer,Sample in Window,TRIGGER,tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_empty,tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_data[28:0],tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_read,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_empty,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_data[39:0],tdc_decoder_top_inst/inst_event_builder_triggerless/matching_busy,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_read,tdc_decoder_top_inst/inst_event_builder_triggerless/readout_fifo_full,tdc_decoder_top_inst/inst_event_builder_triggerless/event_data[39:0],tdc_decoder_top_inst/inst_event_builder_triggerless/event_data_ready,tdc_decoder_top_inst/inst_event_builder_triggerless/building_busy,tdc_decoder_top_inst/inst_event_builder_triggerless/hit_count[9:0],tdc_decoder_top_inst/inst_event_builder_triggerless/state[5:0],tdc_decoder_top_inst/inst_event_builder_triggerless/nextstate[5:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
164,164,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
165,165,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
166,166,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
167,167,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
168,168,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
169,169,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
170,170,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
171,171,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
172,172,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
173,173,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
174,174,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
175,175,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
176,176,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
177,177,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
178,178,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
179,179,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
180,180,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
181,181,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
182,182,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
183,183,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
184,184,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
185,185,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
186,186,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
187,187,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
188,188,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
189,189,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
190,190,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
191,191,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
192,192,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
193,193,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
194,194,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
195,195,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
196,196,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
197,197,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
198,198,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
199,199,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
200,200,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
201,201,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
202,202,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
203,203,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
204,204,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
205,205,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
206,206,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
207,207,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
208,208,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
209,209,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
210,210,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
211,211,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
212,212,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
213,213,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
214,214,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
215,215,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
216,216,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
217,217,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
218,218,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
219,219,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
220,220,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
221,221,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
222,222,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
223,223,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
224,224,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
225,225,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
226,226,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
227,227,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
228,228,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
229,229,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
230,230,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
231,231,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
232,232,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
233,233,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
234,234,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
235,235,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
236,236,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
237,237,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
238,238,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
239,239,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
240,240,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
241,241,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
242,242,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
243,243,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
244,244,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
245,245,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
246,246,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
247,247,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
248,248,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
